Month_Name,Month_Number,Hours,Time,Date,Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay
Mar,3,0,00:11:14,20.03.24,20.03.24 00:11,Truck_7,-65.74,11.25,390,Delayed,27,67.8,Detour,38,320,4,None,60.1,285,1
Oct,10,7,07:53:51,30.10.24,30.10.24 07:53,Truck_6,22.27,-131.71,491,In Transit,22.5,54.3,Heavy,16,439,7,Weather,80.9,174,1
Jul,7,18,18:42:48,29.07.24,29.07.24 18:42,Truck_10,54.92,79.55,190,In Transit,25.2,62.2,Detour,34,355,3,None,99.2,260,0
Oct,10,0,00:50:54,28.10.24,28.10.24 00:50,Truck_9,42.39,-1.48,330,Delivered,25.4,52.3,Heavy,37,227,5,Traffic,97.4,160,1
Sep,9,15,15:52:58,27.09.24,27.09.24 15:52,Truck_7,-65.85,47.95,480,Delayed,20.5,57.2,Clear,56,197,6,None,71.6,270,1
Sep,9,6,06:02:15,17.09.24,17.09.24 06:02,Truck_7,73.33,46.58,118,In Transit,24.3,61.8,Clear,56,258,10,None,66.8,189,0
Feb,2,8,08:38:56,05.02.24,05.02.24 08:38,Truck_4,27.93,147.53,480,Delayed,20.7,75.4,Clear,32,263,3,None,73.3,198,1
Sep,9,9,09:08:23,28.09.24,28.09.24 09:08,Truck_9,46.56,-126.53,222,In Transit,23.3,64.2,Detour,30,459,9,Traffic,73.8,253,0
Jan,1,8,08:27:04,18.01.24,18.01.24 08:27,Truck_9,-83.67,-31.71,245,Delivered,26.4,77.2,Clear,14,183,2,None,69.6,206,0
Nov,11,0,00:48:26,09.11.24,09.11.24 00:48,Truck_2,54.17,-135.27,389,In Transit,21.9,57.3,Clear,52,127,7,Mechanical Failure,63.1,224,0
Jan,1,23,23:19:43,09.01.24,09.01.24 23:19,Truck_9,82.96,-154.53,319,Delayed,22,53.5,Clear,28,360,4,None,69.8,171,1
Feb,2,22,22:28:16,02.02.24,02.02.24 22:28,Truck_10,-25.28,156.13,234,Delivered,29.7,63.6,Detour,13,406,10,Traffic,85.5,238,0
Feb,2,21,21:14:42,17.02.24,17.02.24 21:14,Truck_8,-65.53,-3.02,154,In Transit,21.5,74.2,Detour,38,215,3,Weather,84.4,114,0
Mar,3,6,06:44:50,04.03.24,04.03.24 06:44,Truck_2,-26.18,-30.36,348,Delivered,27.3,71.6,Detour,30,211,2,None,96.4,115,0
Aug,8,12,12:19:14,28.08.24,28.08.24 12:19,Truck_3,2.67,-80.89,163,In Transit,25.1,76.8,Heavy,54,320,5,Weather,93.2,231,1
Jan,1,22,22:52:43,04.01.24,04.01.24 22:52,Truck_5,-22.48,-54.51,130,Delayed,23.7,68.1,Clear,45,487,4,Traffic,84.1,256,1
Oct,10,17,17:52:03,30.10.24,30.10.24 17:52,Truck_4,-34.54,-40.86,391,Delayed,21.6,72.5,Clear,58,298,7,Traffic,61.5,170,1
Jul,7,15,15:42:02,15.07.24,15.07.24 15:42,Truck_7,-8.71,-17.83,344,Delayed,21.4,53.5,Detour,23,461,9,None,93.4,106,1
Jan,1,6,06:42:30,19.01.24,19.01.24 06:42,Truck_5,14.66,116.07,409,Delayed,27.5,66.6,Detour,29,492,3,None,72.6,204,1
Apr,4,21,21:23:34,28.04.24,28.04.24 21:23,Truck_10,75.77,108.94,457,In Transit,25.5,75.9,Clear,21,315,3,Traffic,83.4,248,0
Mar,3,20,20:00:26,06.03.24,06.03.24 20:00,Truck_5,50.34,108.56,207,Delivered,29.3,59.4,Detour,31,174,5,Mechanical Failure,65.9,195,0
Nov,11,16,16:38:07,20.11.24,20.11.24 16:38,Truck_8,-6.67,132.67,155,Delivered,19.4,53.2,Heavy,20,152,1,Mechanical Failure,99.3,235,1
Jan,1,9,09:13:28,07.01.24,07.01.24 09:13,Truck_6,-74.18,-102.73,314,Delivered,19.9,64.8,Detour,57,396,10,Weather,78.6,135,0
Sep,9,15,15:12:12,25.09.24,25.09.24 15:12,Truck_10,-33.23,169.62,156,In Transit,27.2,74.4,Clear,35,354,2,Weather,63.1,282,0
Feb,2,13,13:30:18,11.02.24,11.02.24 13:30,Truck_2,-34.45,93.16,119,In Transit,28.1,72.4,Detour,41,176,2,None,60.9,238,0
Nov,11,11,11:22:13,20.11.24,20.11.24 11:22,Truck_3,-13.51,141.85,112,In Transit,19.7,76.6,Detour,22,121,3,Traffic,80.9,262,0
Jun,6,2,02:26:25,25.06.24,25.06.24 02:26,Truck_3,-22.43,108.23,435,Delivered,25.8,78.6,Heavy,22,220,7,Traffic,90.8,101,1
Jun,6,0,00:01:12,25.06.24,25.06.24 00:01,Truck_9,43.34,-12.07,422,Delivered,20,62.9,Heavy,14,184,9,Traffic,64,248,1
May,5,2,02:33:56,02.05.24,02.05.24 02:33,Truck_4,-66.75,161.45,353,In Transit,20.5,52,Heavy,26,392,7,Traffic,76.4,155,1
Aug,8,0,00:04:40,10.08.24,10.08.24 00:04,Truck_8,-65.73,-173.3,299,Delayed,23.9,50.1,Heavy,17,315,6,None,88.3,252,1
